filename,error,timestamp
2406.10773.pdf,"the JSON object must be str, bytes or bytearray, not NoneType",2026-01-26 08:11:40
2410.12803.pdf,"the JSON object must be str, bytes or bytearray, not NoneType",2026-01-26 08:11:55
2409.13843.pdf,"the JSON object must be str, bytes or bytearray, not NoneType",2026-01-26 08:12:02
2305.18269.pdf,"the JSON object must be str, bytes or bytearray, not NoneType",2026-01-26 08:12:38
2205.12698.pdf,"the JSON object must be str, bytes or bytearray, not NoneType",2026-01-26 08:13:29
2204.00862.pdf,"the JSON object must be str, bytes or bytearray, not NoneType",2026-01-26 08:14:14
2410.10872.pdf,"the JSON object must be str, bytes or bytearray, not NoneType",2026-01-26 08:37:03
2406.01364.pdf,"the JSON object must be str, bytes or bytearray, not NoneType",2026-01-26 08:37:18
2410.12622.pdf,"the JSON object must be str, bytes or bytearray, not NoneType",2026-01-26 08:37:28
2503.19540.pdf,"the JSON object must be str, bytes or bytearray, not NoneType",2026-01-26 08:37:30
2406.10773.pdf,"the JSON object must be str, bytes or bytearray, not NoneType",2026-01-26 08:37:42
2410.12803.pdf,"the JSON object must be str, bytes or bytearray, not NoneType",2026-01-26 08:37:55
2410.12855.pdf,"the JSON object must be str, bytes or bytearray, not NoneType",2026-01-26 08:37:55
2409.13843.pdf,"the JSON object must be str, bytes or bytearray, not NoneType",2026-01-26 08:38:26
2410.10872.pdf,"the JSON object must be str, bytes or bytearray, not NoneType",2026-01-26 09:30:49
2410.12622.pdf,"the JSON object must be str, bytes or bytearray, not NoneType",2026-01-26 09:30:55
2406.01364.pdf,"the JSON object must be str, bytes or bytearray, not NoneType",2026-01-26 09:30:57
2503.19540.pdf,"the JSON object must be str, bytes or bytearray, not NoneType",2026-01-26 09:31:08
2406.10773.pdf,"the JSON object must be str, bytes or bytearray, not NoneType",2026-01-26 09:31:16
2410.12855.pdf,"the JSON object must be str, bytes or bytearray, not NoneType",2026-01-26 09:31:23
2410.12803.pdf,"the JSON object must be str, bytes or bytearray, not NoneType",2026-01-26 09:31:30
2305.18269.pdf,"the JSON object must be str, bytes or bytearray, not NoneType",2026-01-26 09:32:11
2204.00862.pdf,"the JSON object must be str, bytes or bytearray, not NoneType",2026-01-26 09:33:36
2205.09240.pdf,"the JSON object must be str, bytes or bytearray, not NoneType",2026-01-26 09:34:10
1903.09209.pdf,"the JSON object must be str, bytes or bytearray, not NoneType",2026-01-26 09:34:23
2601.22632.pdf,"the JSON object must be str, bytes or bytearray, not NoneType",2026-02-02 15:02:06
2510.07775.pdf,"the JSON object must be str, bytes or bytearray, not NoneType",2026-02-02 15:02:21
2402.02680.pdf,"the JSON object must be str, bytes or bytearray, not NoneType",2026-03-01 02:01:43
2402.01909.pdf,"the JSON object must be str, bytes or bytearray, not NoneType",2026-03-01 02:03:19
2310.18458.pdf,"the JSON object must be str, bytes or bytearray, not NoneType",2026-03-01 02:13:10
2308.06095.pdf,"the JSON object must be str, bytes or bytearray, not NoneType",2026-03-01 02:21:58
2212.07508.pdf,"the JSON object must be str, bytes or bytearray, not NoneType",2026-03-01 02:38:40
2112.05700.pdf,"the JSON object must be str, bytes or bytearray, not NoneType",2026-03-01 02:52:05
2010.04658.pdf,"the JSON object must be str, bytes or bytearray, not NoneType",2026-03-01 03:02:41
2005.00547.pdf,"the JSON object must be str, bytes or bytearray, not NoneType",2026-03-08 13:39:01
2010.03154.pdf,"the JSON object must be str, bytes or bytearray, not NoneType",2026-03-08 13:39:14
2507.04641.pdf,"the JSON object must be str, bytes or bytearray, not NoneType",2026-03-08 13:39:24
2301.11125.pdf,"the JSON object must be str, bytes or bytearray, not NoneType",2026-03-08 13:40:05
